Acc_X,Acc_Y,Acc_Z
-0.106048,0.098389,9.792996
-0.106522,0.069519,9.796357
-0.105662,0.083706,9.787249
-0.103143,0.087961,9.801292
-0.107396,0.057948,9.793567
-0.115215,0.07696,9.796572
-0.120769,0.107555,9.805846
-0.119263,0.108846,9.808778
-0.100892,0.106591,9.793758
-0.109648,0.106263,9.802079
-0.106116,0.067779,9.82039
-0.112779,0.096853,9.797406
-0.106787,0.074194,9.801984
-0.149484,0.091513,9.803033
-0.118579,0.109352,9.808564
-0.117857,0.106077,9.806752
-0.092824,0.113779,9.811401
-0.11435,0.107181,9.801197
-0.13476,0.105607,9.815239
-0.076401,0.08726,9.807563
-0.104406,0.066786,9.801077
-0.129176,0.059517,9.799623
-0.104824,0.075354,9.814596
-0.099666,0.087277,9.791922
-0.121519,0.083151,9.795737
-0.093857,0.104968,9.805703
-0.115662,0.116638,9.803199
-0.100023,0.114003,9.795117
-0.111175,0.091419,9.796524
-0.116662,0.091253,9.802294
-0.098271,0.066563,9.802937
-0.102964,0.060322,9.804773
-0.104471,0.089251,9.796857
-0.097623,0.101232,9.799265
-0.102351,0.095554,9.81102
-0.113992,0.110884,9.80277
-0.124395,0.11141,9.802365
-0.11718,0.103539,9.797359
-0.120092,0.09666,9.799908
-0.105448,0.069763,9.813929
-0.1052,0.100002,9.813046
-0.094544,0.095933,9.795498
-0.093706,0.107818,9.805417
-0.109414,0.10695,9.804319
-0.100867,0.10483,9.799767
-0.110688,0.090867,9.798098
-0.122326,0.10513,9.81338
-0.111804,0.078503,9.791684
-0.104388,0.08146,9.791183
-0.108438,0.073339,9.793019
-0.120705,0.0707,9.788632
-0.106245,0.104401,9.808063
-0.115784,0.120253,9.812379
-0.101894,0.102627,9.810352
-0.114494,0.099338,9.80339
-0.113173,0.10788,9.798359
-0.111821,0.082249,9.796237
-0.12999,0.066215,9.79209
-0.099893,0.079936,9.795045
-0.12363,0.066708,9.788894
-0.114318,0.069858,9.810352
-0.117548,0.084076,9.809231
-0.103631,0.103771,9.804343
-0.110847,0.110312,9.828472
-0.109271,0.101332,9.799385
-0.117396,0.078812,9.802794
-0.107183,0.087244,9.810495
-0.09378,0.084906,9.806704
-0.101234,0.095784,9.799718
-0.116699,0.090755,9.794878
-0.110074,0.091849,9.804439
-0.1107,0.088105,9.809756
-0.10204,0.109768,9.798574
-0.110961,0.095113,9.791469
-0.092224,0.110257,9.806013
-0.106405,0.07375,9.810114
-0.106824,0.081056,9.803081
-0.100091,0.091346,9.808945
-0.12017,0.09655,9.808063
-0.111402,0.100656,9.806323
-0.113757,0.126649,9.803819
-0.108246,0.104363,9.78632
-0.113216,0.107129,9.80556
-0.105643,0.094454,9.811521
-0.124933,0.066986,9.80897
-0.119335,0.079599,9.801935
-0.094618,0.079585,9.798335
-0.128159,0.105288,9.809374
-0.113616,0.09948,9.824419
-0.106629,0.116426,9.805202
-0.094255,0.099179,9.821438
-0.100565,0.091713,9.81586
-0.105141,0.069402,9.815454
-0.103787,0.068686,9.808468
-0.098893,0.089447,9.799575
-0.100682,0.073235,9.817719
-0.105091,0.094678,9.798598
-0.122059,0.09588,9.796213
-0.119992,0.116427,9.799599
-0.106414,0.132752,9.796071
-0.10344,0.084539,9.794092
-0.101193,0.086979,9.814143
-0.109647,0.078221,9.800458
-0.112275,0.083233,9.80668
-0.110757,0.080732,9.810042
-0.112411,0.104507,9.796047
-0.095726,0.095884,9.806585
-0.12212,0.099654,9.795689
-0.111553,0.10714,9.793066
-0.111154,0.099847,9.802818
-0.112605,0.088754,9.790825
-0.10544,0.081899,9.791136
-0.113893,0.078517,9.789992
-0.097245,0.06661,9.795284
-0.128092,0.086929,9.809803
-0.129415,0.085945,9.802747
-0.121455,0.111635,9.811353
-0.110358,0.104413,9.810447
-0.101186,0.09525,9.801816
-0.110663,0.085102,9.791041
-0.116903,0.103946,9.805417
-0.118501,0.083241,9.791422
-0.099161,0.073738,9.802174
-0.109089,0.08787,9.78868
-0.110269,0.082292,9.803104
-0.114332,0.096169,9.817457
-0.103041,0.105999,9.798288
-0.09849,0.11915,9.796572
-0.096857,0.089279,9.799528
-0.103781,0.086004,9.794449
-0.096692,0.074414,9.790301
-0.094675,0.074107,9.790134
-0.115085,0.096524,9.80978
-0.128742,0.094246,9.799313
-0.12557,0.10564,9.808802
-0.123662,0.107137,9.808325
-0.117804,0.107389,9.795521
-0.109888,0.097307,9.791041
-0.118747,0.093905,9.803915
-0.112839,0.079201,9.791422
-0.116358,0.06278,9.800171
-0.106973,0.087665,9.797883
-0.117597,0.08503,9.799337
-0.110555,0.099845,9.809041
-0.112497,0.104967,9.813952
-0.108893,0.10686,9.80494
-0.115538,0.109855,9.798741
-0.109219,0.082512,9.803556
-0.104792,0.070597,9.794974
-0.105177,0.086821,9.799003
-0.108523,0.107667,9.798885
-0.102731,0.088376,9.795666
-0.092134,0.096462,9.80823
-0.114047,0.092341,9.821557
-0.101819,0.112372,9.806514
-0.102697,0.091742,9.807015
-0.11512,0.082918,9.809875
-0.11488,0.067782,9.802556
-0.106265,0.062108,9.798097
-0.107517,0.079397,9.811305
-0.123114,0.076788,9.79917
-0.118034,0.110062,9.805369
-0.119173,0.132433,9.802985
-0.118901,0.093401,9.799433
-0.096541,0.08792,9.80916
-0.102711,0.10141,9.808039
-0.106582,0.064904,9.812283
-0.113508,0.062378,9.796881
-0.115068,0.084881,9.799504
-0.118415,0.083702,9.808111
-0.098722,0.091577,9.82089
-0.123244,0.100589,9.815121
-0.133128,0.097745,9.797858
-0.119345,0.078374,9.803295
-0.124267,0.089209,9.800553
-0.10074,0.086686,9.791255
-0.092582,0.069786,9.79352
-0.099131,0.069332,9.80506
-0.096802,0.104141,9.806085
-0.1153,0.084209,9.812975
-0.111923,0.104882,9.810351
-0.096532,0.114824,9.81183
-0.113442,0.095,9.809613
-0.12142,0.091284,9.79247
-0.102655,0.089093,9.81462
-0.103737,0.075179,9.792947
-0.097395,0.091629,9.799265
-0.11293,0.089148,9.812903
-0.115585,0.106624,9.797358
-0.118056,0.124401,9.81264
-0.129244,0.109157,9.801793
-0.09499,0.091493,9.804463
-0.120788,0.063319,9.807181
-0.105509,0.079795,9.817934
-0.109878,0.07348,9.802079
-0.11566,0.103522,9.810495
-0.109073,0.081678,9.802603
-0.122998,0.091989,9.794925
-0.109608,0.097222,9.81729
-0.114322,0.111567,9.815336
-0.112439,0.083133,9.794116
-0.116926,0.080171,9.806418
-0.10971,0.066327,9.79147
-0.0986,0.076988,9.799337
-0.105377,0.094346,9.801364
-0.119366,0.086241,9.79495
-0.117619,0.094204,9.798741
-0.098844,0.113976,9.80246
-0.114121,0.11616,9.807514
-0.113121,0.087154,9.798407
-0.105828,0.09151,9.80618
-0.100539,0.096518,9.815049
-0.105342,0.078996,9.80122
-0.119291,0.073878,9.793948
-0.120241,0.09445,9.813237
-0.134969,0.101693,9.816169
-0.116724,0.100802,9.811544
-0.115148,0.097367,9.804535
-0.111823,0.089825,9.813976
-0.116335,0.079483,9.791612
-0.103969,0.093488,9.801292
-0.098377,0.058159,9.796333
-0.103743,0.070033,9.817266
-0.116049,0.079991,9.805989
-0.118318,0.093972,9.808946
-0.107273,0.108717,9.810113
-0.102883,0.107221,9.809994
-0.092189,0.103762,9.79793
-0.087658,0.092273,9.799409
-0.10036,0.078397,9.791541
-0.101716,0.075788,9.813308
-0.13395,0.087033,9.7862
-0.102011,0.087853,9.81071
-0.112137,0.104797,9.800005
-0.100224,0.104551,9.808373
-0.121329,0.091517,9.83274
-0.100336,0.097601,9.795331
-0.129757,0.07888,9.804989
-0.106482,0.077201,9.792518
-0.132742,0.058538,9.788107
-0.110545,0.070649,9.797978
-0.128518,0.093182,9.802532
-0.122532,0.077086,9.795355
-0.124993,0.110458,9.807658
-0.099254,0.09103,9.784149
-0.097238,0.113221,9.79538
-0.10805,0.080169,9.80289
-0.110218,0.084826,9.809017
-0.104079,0.076742,9.793615
-0.120929,0.08243,9.800672
-0.110025,0.099545,9.801197
-0.117597,0.09203,9.821533
-0.111742,0.096883,9.806752
-0.111621,0.104516,9.800386
-0.11703,0.112215,9.769916
-0.108909,0.092692,9.785724
-0.11194,0.084031,9.809541
-0.096337,0.071266,9.797859
-0.089292,0.08584,9.804773
-0.11633,0.103825,9.807467
-0.09996,0.115076,9.807587
-0.106105,0.099164,9.797859
-0.142065,0.098842,9.792661
-0.108497,0.115479,9.800243
-0.119251,0.104181,9.80029
-0.09744,0.062214,9.800505
-0.121003,0.079804,9.803057
-0.110957,0.08414,9.802366
-0.112128,0.085857,9.794235
-0.105516,0.08787,9.801459
-0.100217,0.097854,9.811568
-0.091453,0.115781,9.80587
-0.116368,0.097858,9.805917
-0.099252,0.083584,9.797907
-0.106171,0.067618,9.807372
-0.099573,0.094536,9.798073
-0.118788,0.106486,9.802627
-0.112174,0.084146,9.798789
-0.124419,0.100257,9.802079
-0.102393,0.093709,9.797406
-0.115859,0.104159,9.819459
-0.124921,0.128099,9.789872
-0.112154,0.096305,9.796381
-0.0969,0.059192,9.793138
-0.108186,0.07636,9.805369
-0.109831,0.090903,9.821677
-0.106402,0.097866,9.804964
-0.094812,0.097707,9.813308
-0.092219,0.094632,9.807872
-0.115042,0.127636,9.797525
-0.101676,0.10658,9.78744
-0.102386,0.074888,9.798718
-0.105569,0.095464,9.814429
-0.109311,0.033021,9.778023
-0.116822,0.127802,9.797811
-0.125038,0.153817,9.841894
-0.111217,0.060834,9.782601
-0.128085,0.061706,9.781694
-0.103271,0.097971,9.808015
-0.09251,0.153115,9.824157
-0.086736,0.092828,9.807277
-0.10636,0.048333,9.840155
-0.086201,0.068242,9.750628
-0.136129,0.132053,9.817123
-0.106279,0.100735,9.812784
-0.120842,0.058298,9.800457
-0.115369,0.059174,9.78198
-0.115111,0.190453,9.793328
-0.132255,0.107561,9.854985
-0.121849,0.035412,9.799289
-0.107006,0.041199,9.808421
-0.095371,0.08971,9.751391
-0.115944,0.117513,9.875536
-0.086521,0.061594,9.751964
-0.141144,0.039674,9.85899
-0.097629,0.095224,9.736561
-0.124328,0.149021,9.849119
-0.100394,0.110295,9.772491
-0.127541,0.070574,9.817671
-0.10613,0.043426,9.803724
-0.120453,0.089637,9.808326
-0.099221,0.095561,9.797644
-0.110248,0.116466,9.820961
-0.108861,0.06991,9.82964
-0.097348,0.065714,9.78663
-0.11651,0.094719,9.825038
-0.114078,0.133587,9.790109
-0.102791,0.115055,9.806417
-0.10724,0.090916,9.764027
