Longitude,Latitude,Height,VelocityN,VelocityE,VelocityD
116.3200526,40.0085592,25140.0,15.0,-11.0,-8.0
116.3200529,40.0085592,25133.0,-16.0,78.0,1.0
116.320053,40.0085593,25116.0,45.0,32.0,-4.0
116.3200529,40.0085593,25113.0,-50.0,-15.0,-19.0
116.3200528,40.0085594,25101.0,23.0,-31.0,-15.0
116.3200527,40.0085595,25105.0,18.0,-24.0,-15.0
116.3200528,40.0085595,25114.0,6.0,1.0,-15.0
116.3200529,40.0085595,25157.0,-23.0,3.0,-68.0
116.320053,40.0085595,25260.0,23.0,-8.0,-172.0
116.3200531,40.0085598,25291.0,105.0,25.0,-132.0
116.3200532,40.0085602,25325.0,176.0,6.0,-96.0
116.3200529,40.0085609,25326.0,282.0,-61.0,-82.0
116.3200522,40.0085625,25296.0,646.0,-216.0,22.0
116.3200512,40.0085638,25342.0,564.0,-365.0,-21.0
116.3200503,40.0085643,25370.0,382.0,-352.0,-52.0
116.3200491,40.0085656,25428.0,493.0,-395.0,-66.0
116.3200481,40.008567,25473.0,569.0,-369.0,-74.0
116.3200479,40.0085678,25523.0,495.0,-217.0,-97.0
116.3200476,40.0085679,25530.0,296.0,-220.0,-95.0
116.320047,40.0085681,25543.0,178.0,-242.0,-95.0
116.3200469,40.0085685,25574.0,188.0,-121.0,-105.0
116.3200472,40.0085684,25592.0,64.0,24.0,-119.0
116.3200475,40.0085686,25613.0,122.0,81.0,-121.0
116.3200483,40.0085687,25695.0,19.0,257.0,-176.0
116.3200488,40.0085684,25785.0,-165.0,208.0,-233.0
116.3200495,40.0085675,25799.0,-241.0,166.0,-205.0
116.3200491,40.0085679,25835.0,75.0,-87.0,-146.0
116.3200492,40.0085679,25836.0,140.0,-25.0,-117.0
116.3200496,40.0085677,25859.0,58.0,36.0,-119.0
116.3200502,40.0085675,25863.0,-1.0,105.0,-123.0
116.3200509,40.0085674,25851.0,18.0,182.0,-129.0
116.3200515,40.0085674,25926.0,-27.0,209.0,-176.0
116.3200522,40.0085671,25903.0,-29.0,159.0,-147.0
116.3200532,40.0085665,25896.0,-79.0,225.0,-122.0
116.3200546,40.0085656,25879.0,-202.0,334.0,-107.0
116.3200561,40.0085642,25957.0,-447.0,415.0,-151.0
116.3200568,40.0085634,25913.0,-380.0,278.0,-128.0
116.3200576,40.0085619,25999.0,-502.0,243.0,-130.0
116.320059,40.0085608,25972.0,-432.0,390.0,-109.0
116.3200607,40.0085586,25888.0,-606.0,425.0,-65.0
116.3200619,40.0085573,25957.0,-623.0,393.0,-98.0
116.320063,40.0085551,25941.0,-766.0,305.0,-64.0
116.3200645,40.0085529,26023.0,-851.0,420.0,-105.0
116.3200658,40.0085508,26078.0,-882.0,425.0,-114.0
116.3200673,40.0085494,26109.0,-737.0,528.0,-112.0
116.3200685,40.0085473,26032.0,-806.0,417.0,-83.0
116.3200692,40.0085454,26044.0,-827.0,286.0,-70.0
116.3200699,40.0085435,26113.0,-867.0,254.0,-94.0
116.3200707,40.0085412,26102.0,-920.0,264.0,-57.0
116.3200712,40.0085395,26098.0,-832.0,171.0,-59.0
116.3200714,40.0085377,26175.0,-825.0,90.0,-62.0
116.3200717,40.0085354,26157.0,-900.0,64.0,-47.0
116.3200713,40.0085339,26250.0,-790.0,-65.0,-82.0
116.3200716,40.0085317,26294.0,-934.0,81.0,-77.0
116.3200709,40.0085301,26339.0,-813.0,-160.0,-91.0
116.3200703,40.0085285,26368.0,-765.0,-171.0,-64.0
116.3200691,40.0085265,26397.0,-851.0,-360.0,-85.0
116.3200685,40.0085249,26420.0,-775.0,-191.0,-63.0
116.3200675,40.0085223,26410.0,-964.0,-309.0,-55.0
116.3200668,40.0085214,26532.0,-638.0,-215.0,-40.0
116.3200657,40.0085189,26450.0,-795.0,-362.0,-24.0
116.3200644,40.0085176,26617.0,-628.0,-500.0,-99.0
116.3200642,40.008516,26609.0,-553.0,-161.0,-64.0
116.3200633,40.0085139,26684.0,-883.0,-272.0,-55.0
116.3200628,40.0085122,26518.0,-664.0,-115.0,-19.0
116.3200614,40.0085105,26493.0,-738.0,-383.0,-6.0
116.3200607,40.0085086,26562.0,-762.0,-335.0,-45.0
116.3200599,40.0085053,26524.0,-888.0,-430.0,32.0
116.3200593,40.0085029,26716.0,-805.0,-451.0,-4.0
116.3200587,40.0085005,26721.0,-659.0,-430.0,26.0
116.3200567,40.0084991,26760.0,-564.0,-623.0,29.0
116.3200549,40.0084971,26835.0,-639.0,-749.0,12.0
116.3200529,40.0084952,26831.0,-616.0,-745.0,28.0
116.3200507,40.0084937,26890.0,-512.0,-830.0,15.0
116.3200476,40.0084925,26752.0,-466.0,-961.0,77.0
116.3200453,40.008492,26787.0,-247.0,-853.0,30.0
116.3200424,40.0084913,26874.0,-355.0,-931.0,16.0
116.3200391,40.0084905,26863.0,-387.0,-1053.0,34.0
116.3200361,40.0084896,26725.0,-382.0,-992.0,76.0
116.3200326,40.0084896,26829.0,-239.0,-1156.0,64.0
116.3200294,40.008489,26726.0,-179.0,-1064.0,75.0
116.3200266,40.0084879,26472.0,-308.0,-921.0,122.0
116.3200236,40.0084873,26460.0,-311.0,-1013.0,117.0
116.3200203,40.0084873,26477.0,-215.0,-1114.0,145.0
116.320017,40.0084873,26609.0,-160.0,-1127.0,116.0
116.3200138,40.008487,26612.0,-227.0,-1085.0,137.0
116.3200108,40.0084866,26666.0,-210.0,-1052.0,107.0
116.3200076,40.0084866,26762.0,-148.0,-1080.0,97.0
116.3200044,40.0084862,26698.0,-143.0,-1101.0,116.0
116.3200012,40.0084859,26768.0,-143.0,-1137.0,79.0
116.3199981,40.0084855,26771.0,-217.0,-1082.0,86.0
116.3199949,40.0084855,26860.0,-91.0,-1111.0,60.0
116.3199918,40.0084856,26857.0,-21.0,-1062.0,78.0
