Gyr_X,Gyr_Y,Gyr_Z
0.017431,-0.003591,0.044031
0.023515,-0.002295,0.043594
0.020609,-0.002585,0.044622
0.022251,-0.005609,0.040703
0.023877,-0.000979,0.038851
0.023895,-0.002582,0.037744
0.025711,-0.00695,0.037452
0.023247,0.000387,0.036467
0.033318,0.003121,0.032046
0.030348,0.004602,0.02951
0.02952,0.006747,0.028347
0.030751,0.005455,0.032567
0.028623,0.005882,0.02868
0.032253,0.005995,0.032073
0.028674,0.011148,0.032509
0.029748,0.012609,0.029705
0.029502,0.017378,0.034703
0.030822,0.022218,0.034144
0.030261,0.023452,0.034415
0.024445,0.020636,0.03607
0.023622,0.017918,0.03817
0.021444,0.018726,0.04243
0.021093,0.023741,0.042517
0.021303,0.026862,0.043444
0.016405,0.01759,0.043578
0.02166,0.02808,0.046157
0.018605,0.028182,0.050391
0.022175,0.028571,0.050496
0.017074,0.025512,0.048646
0.007337,0.024519,0.052025
0.007876,0.026334,0.051899
0.010722,0.031831,0.050692
0.008801,0.031803,0.0547
0.00393,0.028283,0.05236
0.001498,0.025458,0.056451
0.002132,0.028985,0.052189
0.00099,0.031514,0.057475
-0.002274,0.033001,0.056756
-0.005668,0.031245,0.055853
-0.005263,0.026523,0.057184
-0.007479,0.028966,0.058047
-0.009179,0.027499,0.054907
-0.011724,0.030083,0.059447
-0.0098,0.025625,0.05961
-0.01177,0.027087,0.060875
-0.010999,0.024029,0.060343
-0.008556,0.026179,0.060333
-0.011238,0.02697,0.06141
-0.013839,0.030994,0.063955
-0.01601,0.033868,0.067336
-0.014834,0.034141,0.06524
-0.021702,0.031488,0.069942
-0.018585,0.037875,0.07107
-0.018023,0.041129,0.071193
-0.018516,0.038437,0.072824
-0.015269,0.039022,0.073083
-0.020494,0.043576,0.072747
-0.015917,0.039686,0.072833
-0.016594,0.046229,0.076983
-0.012362,0.04339,0.074228
-0.014399,0.045452,0.075502
-0.010282,0.044236,0.072583
-0.012407,0.047684,0.076131
-0.012091,0.040317,0.07356
-0.009157,0.044828,0.071076
-0.01065,0.045366,0.072432
-0.002104,0.049331,0.070874
-0.003166,0.039285,0.068031
-0.010258,0.035948,0.069287
-0.008214,0.037142,0.066867
0.000422,0.035719,0.064532
-0.003217,0.035625,0.066224
-0.003803,0.034381,0.067296
-0.000277,0.027514,0.064953
0.001345,0.032217,0.061751
0.004888,0.030822,0.062359
8.6e-05,0.029623,0.062921
-0.001085,0.025842,0.060687
0.000136,0.023257,0.05985
0.004589,0.026505,0.062009
0.005337,0.030626,0.060467
0.004736,0.026716,0.063499
0.004189,0.028051,0.059574
0.006246,0.027285,0.059875
0.008514,0.03194,0.061622
0.00452,0.034151,0.061407
0.006679,0.040234,0.060692
0.009883,0.040212,0.065175
0.012321,0.037578,0.060567
0.01253,0.042281,0.062061
0.008696,0.041843,0.062115
0.014613,0.039899,0.060036
0.01578,0.040735,0.063468
0.014787,0.038441,0.064132
0.016247,0.040295,0.062
0.016961,0.037534,0.061061
0.016553,0.036573,0.062036
0.016051,0.036433,0.064642
0.0198,0.033727,0.060093
0.019253,0.034981,0.05896
0.015613,0.027844,0.062173
0.014106,0.025905,0.062575
0.016112,0.025978,0.063401
0.013573,0.02114,0.064639
0.013079,0.019944,0.065076
0.010843,0.014011,0.065092
0.011841,0.017513,0.066205
0.015598,0.013689,0.070087
0.012673,0.011901,0.071236
0.010002,0.010345,0.07286
0.005645,0.014064,0.076307
0.007773,0.016532,0.076186
0.009412,0.015496,0.078165
0.009788,0.01617,0.078811
0.003303,0.014859,0.080825
0.001585,0.022539,0.078306
0.005395,0.017058,0.080616
7.4e-05,0.023911,0.081306
0.002287,0.024106,0.085547
0.000843,0.024261,0.086614
-0.000864,0.022628,0.090017
0.001272,0.015623,0.086451
-0.003773,0.018954,0.090008
-0.00225,0.021576,0.093339
0.002693,0.022643,0.09094
-0.003102,0.017307,0.090732
-0.00381,0.013574,0.09103
-0.001688,0.01036,0.092006
0.000464,0.010223,0.091646
-0.005829,0.007603,0.09144
-0.002059,0.007197,0.093249
-0.003991,0.006873,0.094176
-0.007424,0.000641,0.091556
-0.0058,-0.002594,0.092386
-0.00719,-0.003861,0.097056
-0.006518,-0.005092,0.095528
-0.002155,-0.010075,0.10001
-0.002685,-0.007476,0.099517
-0.005861,-0.006883,0.099266
-0.001879,-0.00401,0.097715
-0.005633,-0.007862,0.099307
-0.008351,-0.00819,0.098922
-0.004679,-0.005828,0.100852
-0.004375,-0.006367,0.097517
-0.001787,-0.009234,0.098415
-0.003447,-0.003666,0.097542
-0.002573,-0.007932,0.095116
-0.002566,-0.004598,0.094786
0.000332,-0.01006,0.093625
-0.004332,-0.007512,0.090962
0.000233,-0.008895,0.088812
0.000786,-0.008444,0.086641
-0.000253,-0.011837,0.084849
0.00312,-0.011736,0.084964
0.003526,-0.010651,0.078177
0.004154,-0.012259,0.075968
-0.000362,-0.013494,0.072571
0.004197,-0.017719,0.072715
0.001218,-0.020215,0.070072
0.003994,-0.023568,0.069786
0.006489,-0.019932,0.067659
0.001832,-0.019696,0.065494
0.007234,-0.023426,0.066646
-0.000422,-0.023122,0.063858
0.001084,-0.02369,0.064506
0.001334,-0.024703,0.06552
-0.000528,-0.026411,0.06211
-0.002487,-0.022973,0.062405
-0.003052,-0.019945,0.063194
0.000941,-0.017579,0.0638
-0.0003,-0.021979,0.06722
-0.004384,-0.016014,0.069202
-0.001742,-0.015394,0.064134
-0.002377,-0.022198,0.065608
0.000864,-0.014839,0.068029
-0.000866,-0.018527,0.066877
-0.002225,-0.01722,0.067342
-0.001611,-0.015029,0.065313
-0.002059,-0.014216,0.065619
-0.00471,-0.012679,0.070398
0.000552,-0.010794,0.067817
-0.003521,-0.012338,0.067785
-0.002281,-0.013009,0.06988
-0.00367,-0.012706,0.06795
0.000756,-0.013959,0.062443
-0.000194,-0.013557,0.065031
-0.002034,-0.012632,0.069871
0.002233,-0.01637,0.067172
-0.003304,-0.013766,0.064281
-0.0008,-0.012861,0.06664
-0.004096,-0.010686,0.065892
-0.001751,-0.008772,0.064086
-0.003597,-0.003818,0.067257
-0.003521,-0.010464,0.070956
-0.004874,-0.010595,0.067107
-0.003621,-0.008048,0.070291
-0.002226,-0.008628,0.070468
-0.005132,-0.008883,0.071896
-0.003745,-0.008833,0.07598
0.000335,-0.007321,0.077001
-0.002807,-0.011957,0.0786
-0.001347,-0.00907,0.081489
-0.001709,-0.012736,0.081602
