PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
03774,8613239,-0.164166,-0.204946,9.781647,-0.000185,-0.000834,0.003483
03775,8613264,-0.100953,-0.184980,9.724069,0.002643,0.002357,0.005672
03776,8613289,-0.148746,-0.126332,9.823633,0.004410,0.001659,-0.001150
03777,8613314,-0.138149,-0.129720,9.830261,-0.001681,-0.003158,0.002337
03778,8613339,-0.110340,-0.170681,9.789944,0.004102,0.001901,0.003096
03779,8613364,-0.144358,-0.171995,9.808850,-0.000034,-0.000362,0.000491
03780,8613389,-0.090104,-0.164756,9.823920,0.005037,-0.001605,0.005203
03781,8613414,-0.095941,-0.122075,9.851337,0.003459,0.000023,0.003972
03782,8613439,-0.128952,-0.130556,9.845733,0.000141,0.001163,0.003590
03783,8613464,-0.189146,-0.172856,9.833766,0.003595,-0.001283,0.002477
03784,8613489,-0.116437,-0.120291,9.772087,0.001224,-0.002572,0.003671
03785,8613514,-0.077304,-0.140770,9.737873,-0.002623,0.000649,0.004309
03786,8613539,-0.146499,-0.185365,9.818745,0.002285,-0.000869,0.006866
03787,8613564,-0.100355,-0.161984,9.822346,0.003689,-0.003517,0.002360
03788,8613589,-0.121963,-0.146915,9.801412,0.001829,-0.002959,0.000428
03789,8613614,-0.151696,-0.142756,9.818317,0.002571,-0.002873,0.006818
03790,8613639,-0.109217,-0.139229,9.803510,0.002513,-0.002199,0.003845
03791,8613664,-0.121647,-0.166226,9.793116,0.001871,-0.003435,0.001823
03792,8613689,-0.105175,-0.130355,9.811926,-0.000942,-0.001273,0.000199
03793,8613714,-0.091981,-0.153602,9.835577,-0.001104,-0.000159,0.003593
03794,8613739,-0.105410,-0.160765,9.811235,-0.000006,-0.001591,0.003418
03795,8613764,-0.146668,-0.135470,9.810901,0.001814,-0.000626,0.004273
03796,8613789,-0.115098,-0.149860,9.812069,0.000768,-0.000916,0.003941
03797,8613814,-0.088966,-0.169332,9.818792,0.001330,0.002842,0.004866
03798,8613839,-0.109449,-0.154989,9.802890,0.002529,0.003121,0.001342
03799,8613864,-0.081295,-0.150311,9.811306,0.000928,0.001407,0.003154
03800,8613889,-0.154617,-0.148802,9.835459,0.007319,0.002071,0.002704
03801,8613914,-0.135014,-0.149395,9.805704,0.003699,-0.000268,0.002842
03802,8613939,-0.127193,-0.129830,9.808325,0.000953,0.003537,0.005095
03803,8613964,-0.142963,-0.167154,9.819127,0.003942,0.000495,0.005487
03804,8613989,-0.098136,-0.153521,9.809995,0.001659,-0.001757,0.003596
03805,8614014,-0.147143,-0.129424,9.802413,0.001072,0.001205,0.001899
03806,8614039,-0.115385,-0.168235,9.795380,-0.000677,-0.004792,0.007277
03807,8614064,-0.111968,-0.140721,9.824300,-0.000553,-0.001454,0.003652
